S,K,T,r,sigma,moneyness,market_price,optionType,moneyness_category,expirationDate
284.67999267578125,260.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.0949230487530048,3.97,put,ITM,2025-12-26
284.67999267578125,265.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.074264123304835,5.05,put,ITM,2025-12-26
284.67999267578125,270.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.0543703432436342,6.0,put,ITM,2025-12-26
284.67999267578125,280.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,1.0167142595563616,10.47,put,ATM,2025-12-26
284.67999267578125,290.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.9816551471578664,14.55,put,ATM,2025-12-26
284.67999267578125,300.0,0.08493150684931507,0.03732000112533569,0.2742176104409445,0.9489333089192709,21.45,put,OTM,2025-12-26
284.67999267578125,245.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.161959153778699,48.85,call,ITM,2026-01-02
284.67999267578125,275.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.0351999733664772,17.5,call,ATM,2026-01-02
284.67999267578125,280.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.0167142595563616,14.61,call,ATM,2026-01-02
284.67999267578125,285.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.998877167283443,13.43,call,ATM,2026-01-02
284.67999267578125,295.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.9650169243246822,8.0,call,ATM,2026-01-02
284.67999267578125,300.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.9489333089192709,6.8,call,OTM,2026-01-02
284.67999267578125,305.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.9333770251664959,5.15,call,OTM,2026-01-02
284.67999267578125,310.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.9183225570186492,4.5,call,OTM,2026-01-02
284.67999267578125,315.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.9037460084945437,3.15,call,OTM,2026-01-02
284.67999267578125,320.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.8896249771118164,2.34,call,OTM,2026-01-02
284.67999267578125,330.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.8626666444720644,1.42,call,OTM,2026-01-02
284.67999267578125,350.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,0.8133714076450893,0.62,call,OTM,2026-01-02
284.67999267578125,235.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.2114042241522607,1.86,put,ITM,2026-01-02
284.67999267578125,250.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.138719970703125,2.85,put,ITM,2026-01-02
284.67999267578125,260.0,0.10410958904109589,0.03732000112533569,0.2742176104409445,1.0949230487530048,4.44,put,ITM,2026-01-02
284.67999267578125,100.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,2.8467999267578126,181.95,call,ITM,2026-01-16
284.67999267578125,120.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,2.372333272298177,161.75,call,ITM,2026-01-16
284.67999267578125,150.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.8978666178385417,130.34,call,ITM,2026-01-16
284.67999267578125,165.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.7253332889441289,118.65,call,ITM,2026-01-16
284.67999267578125,190.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.4983157509251646,93.5,call,ITM,2026-01-16
284.67999267578125,200.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.4233999633789063,85.0,call,ITM,2026-01-16
284.67999267578125,230.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.2377390985903534,55.27,call,ITM,2026-01-16
284.67999267578125,250.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.138719970703125,37.38,call,ITM,2026-01-16
284.67999267578125,260.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.0949230487530048,32.66,call,ITM,2026-01-16
284.67999267578125,270.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.0543703432436342,25.95,call,ITM,2026-01-16
284.67999267578125,280.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.0167142595563616,20.3,call,ATM,2026-01-16
284.67999267578125,290.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.9816551471578664,15.5,call,ATM,2026-01-16
284.67999267578125,300.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.9489333089192709,11.48,call,OTM,2026-01-16
284.67999267578125,310.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.9183225570186492,8.3,call,OTM,2026-01-16
284.67999267578125,320.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.8896249771118164,6.01,call,OTM,2026-01-16
284.67999267578125,330.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.8626666444720644,4.37,call,OTM,2026-01-16
284.67999267578125,340.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.837294096105239,2.71,call,OTM,2026-01-16
284.67999267578125,350.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.8133714076450893,2.35,call,OTM,2026-01-16
284.67999267578125,400.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,0.7116999816894531,0.44,call,OTM,2026-01-16
284.67999267578125,60.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,4.744666544596354,0.09,put,ITM,2026-01-16
284.67999267578125,85.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,3.349176384420956,0.13,put,ITM,2026-01-16
284.67999267578125,120.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,2.372333272298177,0.18,put,ITM,2026-01-16
284.67999267578125,125.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,2.27743994140625,0.17,put,ITM,2026-01-16
284.67999267578125,150.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.8978666178385417,0.25,put,ITM,2026-01-16
284.67999267578125,160.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.7792499542236329,0.32,put,ITM,2026-01-16
284.67999267578125,175.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.6267428152901786,0.4,put,ITM,2026-01-16
284.67999267578125,185.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.5388107712204393,0.6,put,ITM,2026-01-16
284.67999267578125,190.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.4983157509251646,0.62,put,ITM,2026-01-16
284.67999267578125,195.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.4598973983373398,0.6,put,ITM,2026-01-16
284.67999267578125,200.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.4233999633789063,0.78,put,ITM,2026-01-16
284.67999267578125,210.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.3556190127418155,1.14,put,ITM,2026-01-16
284.67999267578125,230.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.2377390985903534,2.2,put,ITM,2026-01-16
284.67999267578125,240.0,0.14246575342465753,0.03732000112533569,0.2742176104409445,1.1861666361490886,3.32,put,ITM,2026-01-16
